filename,width,height,class,xmin,ymin,xmax,ymax
JE0100DL1010T000_Passenger_Cam_0000008.xml,640,480,ads_sign,556,199,613,262
JE0100UL1000T010_Passenger_Cam_0001403.xml,640,480,ads_sign,88,142,152,210
JE0100UL1000T010_Passenger_Cam_0001403.xml,640,480,ads_sign,253,178,360,281
JE0100UL1000T010_Passenger_Cam_0002080.xml,640,480,ads_sign,153,82,262,170
JE0100UL1000T010_Driver_Cam_0001260.xml,640,480,ads_sign,575,146,616,260
JE0100DL1010T000_Driver_Cam_0001580.xml,640,480,ads_sign,65,137,119,213
JE0100UL1000T010_Passenger_Cam_0000577.xml,640,480,ads_sign,561,114,639,231
JE0100DL1010T000_Driver_Cam_0001579.xml,640,480,ads_sign,135,143,178,202
JE0100DL1010T000_Passenger_Cam_0001582.xml,640,480,ads_sign,253,64,358,245
JE0100UL1000T010_Driver_Cam_0000401.xml,640,480,ads_sign,133,189,182,277
JE0100UL1000T010_Driver_Cam_0000401.xml,640,480,ads_sign,36,147,192,194
JE0100DL1010T000_Driver_Cam_0000232.xml,640,480,traffic_sign,531,190,564,236
JE0100DL1010T000_Driver_Cam_0000233.xml,640,480,traffic_sign,466,183,501,228
JE0100DL1010T000_Driver_Cam_0000422.xml,640,480,traffic_sign,549,207,585,252
JE0100DL1010T000_Driver_Cam_0000382.xml,640,480,traffic_sign,210,193,247,240
JE0100DL1010T000_Driver_Cam_0000357.xml,640,480,traffic_sign,77,176,106,237
JE0100DL1010T000_Driver_Cam_0000052.xml,640,480,traffic_sign,551,192,573,237
JE0100DL1010T000_Driver_Cam_0000052.xml,640,480,traffic_sign,17,150,151,212
JE0100DL1010T000_Driver_Cam_0000052.xml,640,480,traffic_sign,189,176,207,221
JE0100DL1010T000_Driver_Cam_0000694.xml,640,480,traffic_sign,129,178,180,242
JE0100DL1010T000_Driver_Cam_0000727.xml,640,480,traffic_sign,170,185,202,229
JE0100DL1010T000_Driver_Cam_0000269.xml,640,480,traffic_sign,562,188,608,242
JE0100DL1010T000_Driver_Cam_0000703.xml,640,480,traffic_sign,161,183,208,243
JE0100DL1010T000_Driver_Cam_0000710.xml,640,480,traffic_sign,46,191,98,266
JE0100DL1010T000_Driver_Cam_0000371.xml,640,480,traffic_sign,355,157,393,204
JE0100DL1010T000_Driver_Cam_0000410.xml,640,480,traffic_sign,465,196,484,232
JE0100DL1010T000_Driver_Cam_0000410.xml,640,480,traffic_sign,445,194,466,229
